Filename,gender,condition,word,rep,duration,f0_midpoint,F1_midpoint,F2_midpoint,intensity,vowel,int_c,f1_c,f2_c,dur_c
Female_Normal,Female,Normal,heed,1,0.383998402,253.3586085,369.7311424,3203.187844,76.87723435,i,-0.8813128130555583,-299.9541617125,1527.0173013305555,0.031256729666666705
Female_Normal,Female,Normal,heed,2,0.433681919,243.4588472,431.870403,3167.338961,76.90540421,i,-0.8531429530555528,-237.81490111250002,1491.1684183305554,0.08094024666666672
Female_Normal,Female,Normal,hid,1,0.268621644,234.9334024,610.3257996,2468.871187,76.88602796,ɪ,-0.8725192030555462,-59.35950451250005,792.7006443305556,-0.08412002833333332
Female_Normal,Female,Normal,hid,2,0.299864247,223.2044424,548.1676515,2494.334406,76.22984766,ɪ,-1.5286995030555488,-121.5176526125,818.1638633305554,-0.05287742533333334
Female_Normal,Female,Normal,head,1,0.254541668,221.9102249,697.6610838,1173.091479,76.96957886,ε,-0.7889683030555545,27.975779687499994,-503.0790636694446,-0.09820000433333331
Female_Normal,Female,Normal,head,2,0.204239539,221.9364348,702.6025642,1122.964255,76.64032699,ε,-1.1182201730555477,32.917260087499926,-553.2062876694445,-0.1485021333333333
Female_Normal,Female,Normal,had,1,0.356835001,212.0433247,1258.696591,1805.106276,73.78234929,æ,-3.976197873055554,589.0112868874999,128.93573333055542,0.0040933286666666735
Female_Normal,Female,Normal,had,2,0.350585296,210.0232375,1111.837008,1249.794775,74.33238794,æ,-3.4261592230555493,442.15170388749993,-426.3757676694445,-0.002156376333333321
Female_Normal,Female,Normal,hod,1,0.366412246,224.3175678,909.2512057,1147.693686,74.88744395,ɑ,-2.871103213055548,239.56590158749998,-528.4768566694445,0.013670573666666685
Female_Normal,Female,Normal,hod,2,0.383508402,220.6953278,992.490894,1152.787978,74.83206768,ɑ,-2.9264794830555587,322.8055898875,-523.3825646694445,0.030766729666666714
Female_Normal,Female,Normal,hood,1,0.272216062,225.1634293,632.7464593,1607.663426,75.87130386,ʊ,-1.8872433030555555,-36.938844812500065,-68.50711666944449,-0.08052561033333333
Female_Normal,Female,Normal,hood,2,0.248967803,221.434952,664.5632923,1657.731127,75.87435087,ʊ,-1.8841962930555525,-5.122011812500091,-18.439415669444543,-0.10377386933333332
Female_Normal,Female,Normal,who'd,1,0.410446148,245.1984179,406.9657901,1144.6943,76.90978182,u,-0.8487653430555469,-262.71951401250004,-531.4762426694444,0.0577044756666667
Female_Normal,Female,Normal,who'd,2,0.439184289,235.8831897,402.3149551,1173.341036,76.66688217,u,-1.0916649930555593,-267.3703490125,-502.8295066694445,0.0864426166666667
Female_Normal,Female,Normal,hud,1,0.277989868,216.936255,873.8592833,1691.630991,76.37187534,ʌ,-1.3866718230555506,204.17397918749998,15.460448330555437,-0.07475180433333334
Female_Normal,Female,Normal,hud,2,0.263598453,215.1479009,784.0837123,1876.546781,75.82822298,ʌ,-1.9303241830555464,114.39840818749997,200.37623833055545,-0.0891432193333333
Female_Normal,Female,Normal,heard,1,0.326897136,233.2779157,638.0910671,1427.186908,74.47841034,ɹ,-3.2801368230555568,-31.594237012500002,-248.98363466944465,-0.025844536333333334
Female_Normal,Female,Normal,heard,2,0.358360769,231.1018666,632.236253,1394.732177,75.07592055,ɹ,-2.6826266130555467,-37.4490511125,-281.43836566944447,0.005619096666666712
Female_Shouted,Female,Shouted,heed,1,0.609701123,188.364525,428.7175962,1508.258019,75.95110111,i,-1.807446053055557,-240.96770791250003,-167.91252366944445,0.2569594506666667
Female_Shouted,Female,Shouted,heed,2,0.567327366,182.9303732,416.6827561,975.3938684,76.83359907,i,-0.9249480930555478,-253.00254801250003,-700.7766742694446,0.2145856936666667
Female_Shouted,Female,Shouted,hid,1,0.463512732,177.032692,712.9475468,1697.465216,77.49459178,ɪ,-0.2639553830555599,43.26224268750002,21.294673330555497,0.11077105966666667
Female_Shouted,Female,Shouted,hid,2,0.502953762,169.9262034,683.3959841,1749.560804,77.53859469,ɪ,-0.21995247305555665,13.71067998749993,73.3902613305554,0.15021208966666666
Female_Shouted,Female,Shouted,head,1,0.557014202,159.6979515,951.0880161,2029.496074,77.66479442,ε,-0.09375274305554626,281.40271198749997,353.32553133055535,0.20427252966666665
Female_Shouted,Female,Shouted,head,2,0.563688345,287.6579514,867.9634064,2073.357631,75.91979007,ε,-1.8387570930555484,198.27810228750002,397.1870883305553,0.21094667266666667
Female_Shouted,Female,Shouted,had,1,0.555917236,162.1679532,1201.362031,2199.34011,76.291211,æ,-1.467336163055549,531.6767268874999,523.1695673305555,0.20317556366666667
Female_Shouted,Female,Shouted,had,2,0.570050916,153.4374417,1195.36107,2054.85137,76.68619453,æ,-1.0723526330555586,525.6757658874999,378.6808273305553,0.2173092436666667
Female_Shouted,Female,Shouted,hod,1,0.621241359,158.3670488,1003.155307,1472.070009,76.83602165,ɑ,-0.9225255130555468,333.47000288749996,-204.10053366944453,0.2684996866666667
Female_Shouted,Female,Shouted,hod,2,0.586534405,288.5820862,1033.615157,1377.509314,76.24039177,ɑ,-1.518155393055551,363.9298528874999,-298.66122866944465,0.23379273266666667
Female_Shouted,Female,Shouted,hood,1,0.528241636,163.5321736,705.0163092,1561.068577,77.7071425,ʊ,-0.051404663055549804,35.33100508749999,-115.10196566944455,0.17549996366666665
Female_Shouted,Female,Shouted,hood,2,0.460154751,154.2110692,746.8817961,1517.640911,77.96415343,ʊ,0.20560626694444295,77.19649198749994,-158.5296316694446,0.10741307866666666
Female_Shouted,Female,Shouted,who'd,1,0.572167692,165.0044202,436.1718372,981.1500694,75.71814895,u,-2.0403982130555534,-233.5134669125,-695.0204732694446,0.21942601966666664
Female_Shouted,Female,Shouted,who'd,2,0.622478645,162.5586758,437.9133701,968.2337804,75.85742042,u,-1.9011267430555563,-231.77193401250003,-707.9367622694446,0.26973697266666674
Female_Shouted,Female,Shouted,hud,1,0.57261404,152.5115789,922.4952041,1664.683008,75.85667209,ʌ,-1.9018750730555496,252.8098999875,-11.487534669444585,0.21987236766666673
Female_Shouted,Female,Shouted,hud,2,0.536841275,292.1267513,909.3664435,1610.36474,76.10457326,ʌ,-1.653973903055558,239.6811393874999,-65.80580266944457,0.1840996026666667
Female_Shouted,Female,Shouted,heard,1,0.638229956,170.014702,785.6642642,1526.286612,77.50578691,ɹ,-0.2527602530555555,115.97896008750001,-149.88393066944445,0.2854882836666667
Female_Shouted,Female,Shouted,heard,2,0.71776677,163.5131083,889.1478981,1551.407763,77.31400001,ɹ,-0.44454715305555226,219.4625939875,-124.76277966944463,0.3650250976666667
Male_Normal,Male,Normal,heed,1,0.26444547,148.515483,302.7301792,2213.529152,72.0156785,i,-5.742868663055546,-366.9551249125,537.3586093305555,-0.0882962023333333
Male_Normal,Male,Normal,heed,2,0.246169299,147.2749637,302.1937871,2181.665851,68.43254973,i,-9.325997433055548,-367.4915170125,505.49530833055564,-0.1065723733333333
Male_Normal,Male,Normal,hid,1,0.207660876,137.3400976,423.9252287,1815.902066,77.94260336,ɪ,0.18405619694445363,-245.76007541250004,139.73152333055555,-0.14508079633333332
Male_Normal,Male,Normal,hid,2,0.183269079,145.5059071,430.6487811,1793.683903,77.80184392,ɪ,0.043296756944442905,-239.03652301250003,117.51336033055554,-0.1694725933333333
Male_Normal,Male,Normal,head,1,0.171072831,131.4627322,532.6653329,1663.394596,78.43257288,ε,0.6740257169444419,-137.01997121250008,-12.775946669444465,-0.1816688413333333
Male_Normal,Male,Normal,head,2,0.175407385,122.0781357,507.1779277,1671.903896,77.37197271,ε,-0.3865744530555588,-162.50737641250004,-4.266646669444526,-0.1773342873333333
Male_Normal,Male,Normal,had,1,0.248454371,--undefined--,622.7418067,1638.877886,76.63523465,æ,-1.1233125130555521,-46.94349741250005,-37.29265666944457,-0.1042873013333333
Male_Normal,Male,Normal,had,2,0.246895489,113.9956491,603.5715463,1587.05735,76.22967475,æ,-1.5288724130555522,-66.11375781250001,-89.11319266944452,-0.10584618333333332
Male_Normal,Male,Normal,hod,1,0.265864989,121.0596107,628.5677718,1097.491202,79.92010424,ɑ,2.1615570769444474,-41.11753231250009,-578.6793406694446,-0.08687668333333332
Male_Normal,Male,Normal,hod,2,0.265634967,299.3217499,590.5838317,1090.77798,75.05447383,ɑ,-2.704073333055547,-79.10147241250002,-585.3925626694445,-0.08710670533333331
Male_Normal,Male,Normal,hood,1,0.174048702,130.1980044,455.4226591,1155.184937,74.52162358,ʊ,-3.2369235830555567,-214.26264501250006,-520.9856056694446,-0.1786929703333333
Male_Normal,Male,Normal,hood,2,0.173830479,104.6971549,448.1353126,1208.125139,73.96555794,ʊ,-3.7929892230555566,-221.54999151250001,-468.04540366944457,-0.1789111933333333
Male_Normal,Male,Normal,who'd,1,0.240161464,135.125109,560.7017416,2211.293815,69.91315451,u,-7.845392653055555,-108.98356251250004,535.1232723305554,-0.11258020833333332
Male_Normal,Male,Normal,who'd,2,0.232357758,126.8468894,572.7587205,2257.148446,67.8373878,u,-9.921159363055551,-96.92658361250005,580.9779033305556,-0.12038391433333331
Male_Normal,Male,Normal,hud,1,0.180824409,129.8227922,539.6812306,1212.592682,78.2705029,ʌ,0.5119557369444436,-130.00407351249999,-463.5778606694446,-0.17191726333333332
Male_Normal,Male,Normal,hud,2,0.196209209,120.3008281,518.784881,1254.536874,75.97543655,ʌ,-1.7831106130555554,-150.9004231125,-421.63366866944466,-0.15653246333333332
Male_Normal,Male,Normal,heard,1,0.24611507,127.9266998,419.7987438,1421.978216,75.27887059,ɹ,-2.4796765730555563,-249.88656031250002,-254.19232666944458,-0.10662660233333332
Male_Normal,Male,Normal,heard,2,0.251114511,124.7584655,417.1799054,1487.303955,75.43378983,ɹ,-2.324757333055558,-252.50539871250004,-188.86658766944447,-0.10162716133333333
Male_Shouted,Male,Shouted,heed,1,0.312564839,199.1981553,459.4080623,1982.021886,81.08242562,i,3.323878456944442,-210.27724181250005,305.85134333055544,-0.04017683333333333
Male_Shouted,Male,Shouted,heed,2,0.334275367,189.8332477,424.3409645,1921.500578,78.74163214,i,0.9830849769444399,-245.34433961250005,245.33003533055535,-0.01846630533333332
Male_Shouted,Male,Shouted,hid,1,0.232134557,183.9766374,709.4878177,1819.621684,75.90899547,ɪ,-1.8495516930555596,39.802513587500016,143.4511413305554,-0.12060711533333332
Male_Shouted,Male,Shouted,hid,2,0.248237977,170.6932078,686.9832713,1699.591635,78.14463222,ɪ,0.3860850569444523,17.29796718749992,23.42109233055544,-0.10450369533333331
Male_Shouted,Male,Shouted,head,1,0.265606884,177.6870523,712.7469949,2055.607076,87.61354181,ε,9.854994646944448,43.06169078749997,379.4365333305552,-0.08713478833333332
Male_Shouted,Male,Shouted,head,2,0.267693016,172.9595617,699.2843814,1763.516808,86.22560607,ε,8.467058906944445,29.599077287499995,87.346265330555525,-0.0850486563333333
Male_Shouted,Male,Shouted,had,1,0.328028991,183.5864873,756.7374872,1649.930261,84.78824787,æ,7.029700706944453,87.0521830875,-26.240281669444585,-0.02471268133333332
Male_Shouted,Male,Shouted,had,2,0.331113178,178.3606877,726.1727376,1799.996801,84.86131771,æ,7.102770546944441,56.48743348749997,123.82625833055545,-0.021628494333333304
Male_Shouted,Male,Shouted,hod,1,0.319221316,168.6785375,720.6614586,1344.782202,83.99276405,ɑ,6.234216886944452,50.97615448749991,-331.38834066944446,-0.033520356333333334
Male_Shouted,Male,Shouted,hod,2,0.34379886,171.9699254,712.650351,1456.084501,85.75434498,ɑ,7.995797816944446,42.965046887499966,-220.0860416694445,-0.008942812333333328
Male_Shouted,Male,Shouted,hood,1,0.250956178,171.5444767,689.5684935,2005.707066,87.78063271,ʊ,10.022085546944453,19.88318938750001,329.5365233305554,-0.10178549433333334
Male_Shouted,Male,Shouted,hood,2,0.248789581,227.9361809,686.4791818,2007.294253,87.3110982,ʊ,9.55255103694445,16.793877687499958,331.12371033055547,-0.1039520913333333
Male_Shouted,Male,Shouted,who'd,1,0.297691621,187.9037096,673.2320735,1716.321455,77.68121059,u,-0.07733657305554686,3.5467693874999213,40.15091233055546,-0.055050051333333294
Male_Shouted,Male,Shouted,who'd,2,0.324944952,185.2985011,964.3352146,2264.065493,75.52468477,u,-2.23386239305556,294.64991048749994,587.8949503305555,-0.027796720333333302
Male_Shouted,Male,Shouted,hud,1,0.280624125,172.4939393,706.5035733,1870.029085,86.66774549,ʌ,8.909198326944448,36.818269187499936,193.85854233055534,-0.07211754733333331
Male_Shouted,Male,Shouted,hud,2,0.30299858,169.8851182,707.0439705,1633.580337,86.1315345,ʌ,8.372987336944448,37.358666387499966,-42.59020566944446,-0.049743092333333294
Male_Shouted,Male,Shouted,heard,1,0.288227243,158.5678603,639.9502853,1855.026646,87.22128243,ɹ,9.462735266944449,-29.735018812500016,178.85610333055547,-0.06451442933333329
Male_Shouted,Male,Shouted,heard,2,0.304571682,166.136258,670.0450404,1400.31789,85.24706236,ɹ,7.488515196944448,0.3597362874999135,-275.8526526694445,-0.0481699903333333
